File created automatically by script ./spectrum_reduce.py on 2020-21-28T09:01:39Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
2.2558e+00 3.1297e-04 1.2275e-04
2.2580e+00 3.3447e-04 1.2691e-04
2.2602e+00 3.5666e-04 1.2364e-04
2.2624e+00 3.4468e-04 1.2707e-04
2.2646e+00 3.3524e-04 1.3060e-04
2.2668e+00 3.8461e-04 1.2415e-04
2.2690e+00 3.6375e-04 1.3304e-04
2.2712e+00 3.4438e-04 1.3277e-04
2.2734e+00 3.6823e-04 1.2409e-04
2.2756e+00 3.6573e-04 1.2868e-04
2.2778e+00 3.5817e-04 1.2743e-04
2.2800e+00 3.8945e-04 1.2657e-04
2.2822e+00 4.0609e-04 1.2831e-04
2.2844e+00 4.1760e-04 1.2894e-04
2.2866e+00 4.1580e-04 1.2509e-04
2.2887e+00 4.0169e-04 1.2659e-04
2.2909e+00 3.9345e-04 1.2885e-04
2.2931e+00 3.7250e-04 1.2304e-04
2.2953e+00 3.5676e-04 1.2501e-04
2.2975e+00 3.9842e-04 1.2651e-04
2.2997e+00 4.0332e-04 1.2626e-04
2.3019e+00 4.1998e-04 1.2412e-04
2.3041e+00 4.0124e-04 1.2002e-04
2.3063e+00 3.9637e-04 1.1770e-04
2.3085e+00 4.0698e-04 1.1071e-04
2.3107e+00 4.0366e-04 1.0972e-04
2.3129e+00 4.0253e-04 1.0968e-04
2.3151e+00 4.3650e-04 1.0843e-04
2.3173e+00 4.5765e-04 1.2982e-04
2.3195e+00 3.9262e-04 1.2039e-04
2.3217e+00 3.4403e-04 1.1107e-04
2.3239e+00 3.6731e-04 1.1851e-04
2.3261e+00 3.5222e-04 1.1149e-04
2.3283e+00 3.7462e-04 1.1255e-04
2.3305e+00 4.0133e-04 1.1699e-04
2.3327e+00 3.7418e-04 1.1481e-04
2.3349e+00 3.9387e-04 1.1970e-04
2.3371e+00 4.2708e-04 1.1759e-04
2.3393e+00 4.4185e-04 1.2591e-04
2.3415e+00 4.5141e-04 1.2558e-04
2.3437e+00 4.3246e-04 1.2063e-04
2.3459e+00 4.5535e-04 1.3289e-04
2.3481e+00 4.2879e-04 1.3684e-04
2.3503e+00 4.8682e-04 1.3274e-04
2.3525e+00 4.3680e-04 1.4246e-04
2.3547e+00 4.0795e-04 1.3656e-04
2.3569e+00 4.1378e-04 1.3559e-04
2.3591e+00 4.0375e-04 1.4230e-04
2.3613e+00 3.8742e-04 1.3426e-04
2.3635e+00 3.4907e-04 1.3262e-04
2.3657e+00 3.5621e-04 1.3884e-04
2.3679e+00 4.0890e-04 1.4570e-04
2.3701e+00 3.6799e-04 1.6475e-04
2.3723e+00 3.5163e-04 1.6206e-04
2.3745e+00 3.4121e-04 1.4513e-04
2.3767e+00 3.4733e-04 1.4887e-04
2.3789e+00 3.9055e-04 1.4280e-04
2.3811e+00 4.0258e-04 1.4297e-04
2.3833e+00 3.7235e-04 1.5660e-04
2.3855e+00 3.6899e-04 1.5094e-04
2.3877e+00 3.4640e-04 1.4712e-04
2.3899e+00 3.6459e-04 1.5617e-04
2.3921e+00 3.6951e-04 1.5239e-04
2.3943e+00 4.0534e-04 1.4954e-04
2.3965e+00 3.7113e-04 1.5229e-04
2.3987e+00 3.6497e-04 1.4929e-04
2.4009e+00 3.3992e-04 1.4883e-04
2.4031e+00 3.4999e-04 1.5868e-04
2.4053e+00 3.4647e-04 1.6354e-04
2.4075e+00 3.5817e-04 1.7146e-04
2.4097e+00 3.5599e-04 1.6688e-04
2.4119e+00 3.7430e-04 1.6542e-04
2.4141e+00 3.6675e-04 1.7862e-04
2.4162e+00 2.8858e-04 1.9459e-04
2.4184e+00 3.3960e-04 1.9334e-04
2.4206e+00 3.9034e-04 1.9468e-04
2.4228e+00 3.1515e-04 1.8725e-04
2.4250e+00 3.4708e-04 1.9490e-04
