File created automatically by script spectrum_reduce.py on 2020-21-18T20:01:58Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
2.0044e+00 1.7538e-04 5.0741e-04
2.0046e+00 3.5981e-04 5.7040e-04
2.0049e+00 2.7792e-04 5.3697e-04
2.0052e+00 7.3157e-05 6.1718e-04
2.0054e+00 3.0245e-04 5.5790e-04
2.0057e+00 4.2708e-04 8.0669e-04
2.0059e+00 1.3616e-04 5.7290e-04
2.0062e+00 2.3331e-04 6.8627e-04
2.0065e+00 1.3445e-04 3.7527e-04
2.0067e+00 1.9831e-04 4.4711e-04
2.0070e+00 1.8847e-04 3.4350e-04
2.0073e+00 2.2239e-04 3.7474e-04
2.0075e+00 1.4960e-04 3.1482e-04
2.0078e+00 8.7652e-05 3.0803e-04
2.0081e+00 1.2875e-04 3.3885e-04
2.0083e+00 1.8479e-04 2.5676e-04
2.0086e+00 1.8952e-04 3.4758e-04
2.0089e+00 1.7602e-04 2.5749e-04
2.0091e+00 1.8216e-04 1.9410e-04
2.0094e+00 2.1236e-04 2.4083e-04
2.0096e+00 1.5895e-04 3.2909e-04
2.0099e+00 2.2405e-04 2.5358e-04
2.0102e+00 2.1267e-04 3.7796e-04
2.0104e+00 1.6020e-04 2.8930e-04
2.0107e+00 1.3499e-04 3.6289e-04
2.0110e+00 1.5626e-04 3.7802e-04
2.0112e+00 1.7361e-04 3.1291e-04
2.0115e+00 1.4083e-04 4.2118e-04
2.0118e+00 1.7940e-04 2.9391e-04
2.0120e+00 6.6019e-06 3.5110e-04
2.0123e+00 -6.5291e-04 6.7314e-04
2.0126e+00 -1.4957e-04 3.0021e-04
2.0128e+00 1.8733e-04 4.3420e-04
2.0131e+00 2.7529e-04 3.4979e-04
2.0133e+00 1.2136e-04 3.1318e-04
2.0136e+00 1.2042e-04 4.4294e-04
2.0139e+00 2.0442e-04 2.8870e-04
2.0141e+00 1.9795e-04 3.5229e-04
2.0144e+00 2.1924e-04 4.5266e-04
2.0147e+00 2.6425e-04 4.4486e-04
2.0149e+00 3.0015e-05 4.1964e-04
2.0152e+00 1.1751e-04 3.4178e-04
2.0155e+00 1.9861e-04 3.0753e-04
2.0157e+00 1.9328e-04 4.5537e-04
2.0160e+00 2.4647e-04 3.7520e-04
2.0163e+00 2.0272e-04 2.6928e-04
2.0165e+00 2.0383e-04 3.9107e-04
2.0168e+00 2.5408e-04 4.0723e-04
2.0170e+00 1.6364e-04 3.0023e-04
2.0173e+00 2.1847e-04 4.2390e-04
2.0176e+00 1.8506e-04 2.5772e-04
2.0178e+00 1.8323e-04 2.8895e-04
2.0181e+00 2.7695e-04 4.3342e-04
2.0184e+00 2.7659e-04 3.1629e-04
2.0186e+00 1.1492e-04 2.4606e-04
2.0189e+00 -6.4446e-05 4.0718e-04
2.0192e+00 1.9049e-04 2.2336e-04
2.0194e+00 2.2028e-04 2.1249e-04
2.0197e+00 3.1227e-04 2.8269e-04
