File created automatically by script spectrum_reduce.py on 2020-21-18T20:01:58Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
2.1199e+00 2.8286e-04 1.7366e-04
2.1201e+00 3.2310e-04 1.6801e-04
2.1204e+00 2.7342e-04 1.6578e-04
2.1206e+00 2.8331e-04 1.3267e-04
2.1209e+00 2.7930e-04 1.4141e-04
2.1212e+00 2.9648e-04 1.4070e-04
2.1214e+00 3.1468e-04 1.5554e-04
2.1217e+00 3.0686e-04 1.4794e-04
2.1220e+00 2.8112e-04 1.3387e-04
2.1222e+00 2.7673e-04 1.5665e-04
2.1225e+00 2.8191e-04 1.3653e-04
2.1228e+00 2.9381e-04 1.4375e-04
2.1230e+00 2.8376e-04 1.2982e-04
2.1233e+00 2.3222e-04 4.5606e-04
2.1236e+00 2.5497e-04 1.4810e-04
2.1238e+00 2.7955e-04 1.6953e-04
2.1241e+00 2.9356e-04 1.4556e-04
2.1243e+00 2.6405e-04 1.4543e-04
2.1246e+00 2.3356e-04 1.4179e-04
2.1249e+00 2.9080e-04 1.3969e-04
2.1251e+00 3.2712e-04 1.4188e-04
2.1254e+00 2.8313e-04 1.7536e-04
2.1257e+00 2.4385e-04 1.5461e-04
2.1259e+00 2.3152e-04 1.4785e-04
2.1262e+00 2.9910e-04 1.5279e-04
2.1265e+00 2.7816e-04 1.4631e-04
2.1267e+00 3.0925e-04 1.5104e-04
2.1270e+00 2.7291e-04 1.3493e-04
2.1273e+00 2.3856e-04 1.4320e-04
2.1275e+00 2.3097e-04 1.5121e-04
2.1278e+00 2.3839e-04 2.5634e-04
2.1280e+00 2.6860e-04 1.5244e-04
2.1283e+00 3.0424e-04 1.4984e-04
2.1286e+00 2.8268e-04 1.4576e-04
2.1288e+00 2.1649e-04 1.4108e-04
2.1291e+00 2.2763e-04 1.5687e-04
2.1294e+00 3.0174e-04 1.4892e-04
2.1296e+00 2.7684e-04 1.4801e-04
2.1299e+00 2.6065e-04 1.7994e-04
2.1302e+00 2.4576e-04 1.3410e-04
2.1304e+00 2.8040e-04 1.4424e-04
2.1307e+00 2.9667e-04 1.4257e-04
2.1310e+00 2.8577e-04 1.3824e-04
2.1312e+00 2.8061e-04 1.5637e-04
2.1315e+00 2.6855e-04 1.3376e-04
2.1317e+00 2.6734e-04 1.4349e-04
2.1320e+00 2.5990e-04 1.2927e-04
2.1323e+00 3.0527e-04 1.4112e-04
2.1325e+00 2.4175e-04 1.4959e-04
2.1328e+00 2.5962e-04 1.4334e-04
2.1331e+00 2.7093e-04 1.4567e-04
2.1333e+00 3.0980e-04 1.4644e-04
2.1336e+00 2.9077e-04 1.5508e-04
2.1339e+00 2.7952e-04 1.4721e-04
2.1341e+00 2.9752e-04 1.6025e-04
2.1344e+00 2.6005e-04 1.3871e-04
2.1347e+00 2.6884e-04 1.4781e-04
2.1349e+00 2.8770e-04 1.5690e-04
2.1352e+00 2.7549e-04 1.8738e-04
2.1354e+00 2.9430e-04 1.3938e-04
2.1357e+00 3.1939e-04 1.4038e-04
2.1360e+00 2.7181e-04 3.0625e-04
2.1362e+00 2.9289e-04 1.4903e-04
2.1365e+00 2.2964e-04 1.4122e-04
2.1368e+00 2.6285e-04 1.4105e-04
2.1370e+00 3.0101e-04 1.5542e-04
2.1373e+00 2.7424e-04 1.3831e-04
2.1376e+00 2.6245e-04 1.3917e-04
2.1378e+00 3.0238e-04 1.7030e-04
2.1381e+00 3.1378e-04 1.6294e-04
2.1384e+00 2.8332e-04 2.3442e-04
2.1386e+00 2.8457e-04 1.3932e-04
2.1389e+00 2.4914e-04 1.4064e-04
2.1391e+00 2.5209e-04 1.4527e-04
2.1394e+00 3.1459e-04 1.4263e-04
2.1397e+00 2.7117e-04 1.4764e-04
2.1399e+00 2.9841e-04 1.5451e-04
2.1402e+00 3.0400e-04 1.3587e-04
2.1405e+00 2.8535e-04 1.4176e-04
2.1407e+00 2.4915e-04 1.4959e-04
2.1410e+00 2.5868e-04 1.9907e-04
2.1413e+00 2.8413e-04 2.1462e-04
2.1415e+00 2.9591e-04 1.5368e-04
2.1418e+00 2.5964e-04 1.4281e-04
2.1421e+00 2.3486e-04 1.4951e-04
2.1423e+00 2.0562e-04 1.4056e-04
2.1426e+00 2.6195e-04 1.4316e-04
2.1428e+00 2.8381e-04 1.4655e-04
2.1431e+00 3.0962e-04 1.8070e-04
2.1434e+00 2.9181e-04 2.4206e-04
2.1436e+00 2.4824e-04 1.4018e-04
2.1439e+00 2.9440e-04 1.4160e-04
2.1442e+00 3.2381e-04 1.4405e-04
2.1444e+00 2.8207e-04 1.4250e-04
2.1447e+00 2.8965e-04 1.4261e-04
2.1450e+00 2.9544e-04 1.4152e-04
2.1452e+00 2.6341e-04 1.4403e-04
2.1455e+00 2.9541e-04 1.3919e-04
2.1458e+00 2.6200e-04 1.3989e-04
2.1460e+00 1.5053e-04 1.7334e-04
2.1463e+00 2.8369e-04 1.5103e-04
2.1465e+00 3.7250e-04 1.5313e-04
2.1468e+00 3.5678e-04 1.4844e-04
2.1471e+00 3.2634e-04 1.6526e-04
2.1473e+00 3.6772e-04 1.5993e-04
2.1476e+00 3.3692e-04 1.4448e-04
2.1479e+00 3.1013e-04 1.4258e-04
2.1481e+00 2.8482e-04 1.5021e-04
2.1484e+00 3.1855e-04 1.4381e-04
2.1487e+00 2.9792e-04 1.5111e-04
2.1489e+00 2.9784e-04 7.9701e-04
2.1492e+00 2.6129e-04 1.8312e-04
2.1495e+00 2.8594e-04 1.5325e-04
2.1497e+00 2.5656e-04 1.3932e-04
2.1500e+00 1.9234e-04 1.7940e-04
2.1502e+00 2.3241e-04 1.4754e-04
2.1505e+00 2.8631e-04 1.9231e-04
2.1508e+00 3.1666e-04 1.6496e-04
2.1510e+00 3.1144e-04 1.6766e-04
2.1513e+00 2.8690e-04 1.4909e-04
2.1516e+00 3.0032e-04 1.5409e-04
2.1518e+00 2.9147e-04 1.5667e-04
2.1521e+00 2.4593e-04 1.4836e-04
2.1524e+00 2.8532e-04 1.5883e-04
2.1526e+00 2.8867e-04 1.4520e-04
2.1529e+00 3.3430e-04 1.4119e-04
2.1532e+00 2.8863e-04 1.5812e-04
2.1534e+00 3.4020e-04 2.8759e-04
2.1537e+00 3.1617e-04 3.3475e-04
2.1539e+00 3.3211e-04 1.4549e-04
2.1542e+00 2.9806e-04 1.4163e-04
2.1545e+00 3.2799e-04 1.4541e-04
2.1547e+00 2.9455e-04 1.4762e-04
2.1550e+00 3.2266e-04 1.5020e-04
2.1553e+00 3.0130e-04 1.9497e-04
2.1555e+00 2.8695e-04 1.7376e-04
2.1558e+00 2.2432e-04 1.7347e-04
2.1561e+00 2.3916e-04 1.4396e-04
2.1563e+00 2.7555e-04 1.7253e-04
2.1566e+00 2.7043e-04 1.3914e-04
2.1569e+00 2.6965e-04 1.4410e-04
2.1571e+00 3.0755e-04 1.5714e-04
2.1574e+00 3.2797e-04 1.5351e-04
2.1576e+00 3.1267e-04 1.7815e-04
2.1579e+00 3.4368e-04 2.1644e-04
2.1582e+00 3.4224e-04 1.4423e-04
2.1584e+00 3.0543e-04 1.4027e-04
2.1587e+00 3.1405e-04 1.5408e-04
2.1590e+00 3.4065e-04 1.7798e-04
2.1592e+00 2.8791e-04 1.4643e-04
2.1595e+00 3.1642e-04 1.4982e-04
2.1598e+00 2.8289e-04 1.4771e-04
2.1600e+00 4.1832e-04 1.5515e-04
2.1603e+00 7.6316e-04 1.6005e-04
2.1606e+00 6.1401e-04 1.7555e-04
2.1608e+00 3.4428e-04 1.7525e-04
2.1611e+00 3.2734e-04 2.1611e-04
2.1613e+00 3.1052e-04 3.4497e-04
2.1616e+00 3.3374e-04 1.5498e-04
2.1619e+00 3.4135e-04 1.4776e-04
2.1621e+00 3.5521e-04 1.5362e-04
2.1624e+00 3.2549e-04 1.5112e-04
2.1627e+00 3.4869e-04 1.7434e-04
2.1629e+00 3.4033e-04 1.5817e-04
2.1632e+00 3.0657e-04 1.7156e-04
2.1635e+00 3.2767e-04 1.9104e-04
2.1637e+00 3.1137e-04 1.6491e-04
2.1640e+00 3.4454e-04 1.8536e-04
2.1643e+00 3.4243e-04 1.6188e-04
2.1645e+00 3.4734e-04 1.6088e-04
2.1648e+00 3.6209e-04 1.6767e-04
2.1650e+00 4.1313e-04 1.9328e-04
2.1653e+00 3.9220e-04 1.7855e-04
2.1656e+00 4.2409e-04 1.9673e-04
2.1658e+00 4.0562e-04 2.4456e-04
2.1661e+00 3.7437e-04 1.7917e-04
2.1664e+00 3.8805e-04 1.8928e-04
2.1666e+00 3.5794e-04 1.9500e-04
2.1669e+00 3.5731e-04 1.9740e-04
2.1672e+00 3.9319e-04 1.8143e-04
2.1674e+00 3.1891e-04 1.9566e-04
2.1677e+00 3.3265e-04 1.8685e-04
2.1680e+00 3.6275e-04 2.9187e-04
2.1682e+00 4.0173e-04 1.6811e-04
2.1685e+00 3.6074e-04 2.8747e-04
2.1687e+00 3.6586e-04 1.9347e-04
2.1690e+00 3.2311e-04 1.6741e-04
2.1693e+00 3.7247e-04 1.6888e-04
2.1695e+00 3.2248e-04 1.6336e-04
2.1698e+00 3.2947e-04 1.7445e-04
2.1701e+00 2.9795e-04 1.5731e-04
2.1703e+00 3.3131e-04 1.9023e-04
2.1706e+00 2.7828e-04 1.5482e-04
2.1709e+00 3.0826e-04 1.5501e-04
2.1711e+00 2.9190e-04 1.5196e-04
2.1714e+00 3.2631e-04 1.6468e-04
2.1717e+00 3.4334e-04 1.4912e-04
2.1719e+00 3.1177e-04 1.5853e-04
2.1722e+00 3.1652e-04 1.6099e-04
2.1724e+00 3.1783e-04 1.6893e-04
2.1727e+00 3.0043e-04 2.5161e-04
2.1730e+00 3.3914e-04 1.6260e-04
2.1732e+00 3.0642e-04 1.5798e-04
2.1735e+00 2.9130e-04 1.5932e-04
2.1738e+00 3.1785e-04 1.5969e-04
2.1740e+00 3.6508e-04 1.5380e-04
2.1743e+00 2.9674e-04 2.5941e-04
2.1746e+00 2.9137e-04 1.6813e-04
2.1748e+00 3.2407e-04 1.5681e-04
2.1751e+00 3.4983e-04 1.7115e-04
2.1754e+00 3.4118e-04 1.5539e-04
2.1756e+00 3.1900e-04 1.5539e-04
2.1759e+00 3.3714e-04 1.5644e-04
2.1761e+00 2.9893e-04 1.5606e-04
2.1764e+00 3.2010e-04 1.6051e-04
2.1767e+00 3.1842e-04 1.7028e-04
2.1769e+00 3.4417e-04 1.6232e-04
2.1772e+00 3.4196e-04 1.7502e-04
2.1775e+00 4.9614e-04 1.5968e-04
2.1777e+00 4.8871e-04 1.8568e-04
2.1780e+00 5.3029e-04 1.5544e-04
2.1783e+00 4.2759e-04 1.6067e-04
2.1785e+00 3.3902e-04 1.9218e-04
2.1788e+00 3.2718e-04 2.1072e-04
2.1791e+00 3.0932e-04 1.7064e-04
2.1793e+00 2.8312e-04 1.6661e-04
2.1796e+00 2.6059e-04 1.5941e-04
2.1798e+00 2.9893e-04 1.5690e-04
2.1801e+00 2.8495e-04 1.6023e-04
2.1804e+00 2.7100e-04 1.6113e-04
2.1806e+00 2.9379e-04 1.6247e-04
2.1809e+00 3.3609e-04 1.4850e-04
2.1812e+00 3.1417e-04 1.5530e-04
2.1814e+00 2.9821e-04 1.5717e-04
2.1817e+00 3.3661e-04 1.6411e-04
2.1820e+00 3.0249e-04 1.7478e-04
2.1822e+00 3.3865e-04 1.8445e-04
2.1825e+00 2.9799e-04 1.9340e-04
2.1828e+00 2.8472e-04 1.7645e-04
2.1830e+00 3.1636e-04 2.1986e-04
2.1833e+00 3.4136e-04 1.8968e-04
2.1835e+00 3.3918e-04 2.9687e-04
2.1838e+00 2.7447e-04 1.7268e-04
2.1841e+00 2.5904e-04 1.8348e-04
2.1843e+00 2.2229e-04 1.7549e-04
2.1846e+00 2.9800e-04 1.8992e-04
2.1849e+00 3.1387e-04 1.8558e-04
2.1851e+00 3.0345e-04 2.4618e-04
2.1854e+00 3.2943e-04 1.7232e-04
2.1857e+00 2.4504e-04 2.0356e-04
2.1859e+00 2.3600e-04 1.7946e-04
2.1862e+00 3.2020e-04 1.7724e-04
2.1865e+00 3.2881e-04 1.7164e-04
2.1867e+00 3.3269e-04 2.3381e-04
2.1870e+00 3.0766e-04 1.8854e-04
2.1872e+00 3.1033e-04 1.8225e-04
2.1875e+00 3.0223e-04 2.3454e-04
2.1878e+00 3.0208e-04 1.7289e-04
2.1880e+00 3.4267e-04 1.9382e-04
2.1883e+00 3.4059e-04 4.9761e-04
2.1886e+00 3.2815e-04 2.4119e-04
2.1888e+00 3.3856e-04 1.7985e-04
2.1891e+00 3.5725e-04 3.1872e-04
2.1894e+00 3.4679e-04 1.9033e-04
2.1896e+00 3.0457e-04 2.0110e-04
2.1899e+00 3.4808e-04 1.8730e-04
2.1902e+00 2.9302e-04 1.9594e-04
2.1904e+00 2.9551e-04 4.1203e-04
2.1907e+00 2.9672e-04 3.3225e-04
2.1909e+00 3.2461e-04 1.8859e-04
2.1912e+00 2.9272e-04 1.8955e-04
2.1915e+00 3.1692e-04 1.9573e-04
2.1917e+00 3.3769e-04 1.9091e-04
2.1920e+00 3.3596e-04 2.0245e-04
2.1923e+00 3.5780e-04 1.8853e-04
2.1925e+00 3.7056e-04 1.9959e-04
2.1928e+00 3.6081e-04 2.0512e-04
2.1931e+00 3.0504e-04 2.0830e-04
2.1933e+00 2.9308e-04 1.9872e-04
2.1936e+00 2.9192e-04 3.1162e-04
2.1939e+00 2.4259e-04 2.2464e-04
2.1941e+00 2.9499e-04 2.0735e-04
2.1944e+00 2.3438e-04 2.0573e-04
2.1946e+00 3.1968e-04 2.2214e-04
2.1949e+00 3.8791e-04 2.4064e-04
2.1952e+00 3.9810e-04 2.5324e-04
2.1954e+00 3.5536e-04 2.1687e-04
2.1957e+00 3.4487e-04 2.7278e-04
2.1960e+00 3.3890e-04 2.5226e-04
2.1962e+00 3.1594e-04 2.1971e-04
2.1965e+00 2.9520e-04 2.2900e-04
2.1968e+00 3.1814e-04 2.1006e-04
2.1970e+00 3.5159e-04 2.2179e-04
2.1973e+00 4.3633e-04 3.4942e-04
2.1976e+00 3.9105e-04 2.4459e-04
2.1978e+00 3.3522e-04 2.3039e-04
2.1981e+00 2.6484e-04 6.1984e-04
2.1983e+00 3.3582e-04 2.7804e-04
2.1986e+00 2.7014e-04 2.5170e-04
2.1989e+00 3.2509e-04 2.7968e-04
2.1991e+00 3.0940e-04 2.4535e-04
2.1994e+00 2.8679e-04 2.5985e-04
2.1997e+00 3.7709e-04 2.6013e-04
2.1999e+00 4.0800e-04 3.0681e-04
2.2002e+00 3.0706e-04 3.0107e-04
2.2005e+00 3.7085e-04 2.9181e-04
2.2007e+00 3.2684e-04 3.3812e-04
2.2010e+00 3.3241e-04 2.6188e-04
2.2013e+00 3.0690e-04 2.4735e-04
2.2015e+00 2.7553e-04 2.7978e-04
2.2018e+00 3.9304e-04 2.6214e-04
2.2020e+00 3.4464e-04 2.8359e-04
2.2023e+00 3.1120e-04 2.7062e-04
2.2026e+00 3.5495e-04 2.7690e-04
2.2028e+00 3.0038e-04 2.8269e-04
2.2031e+00 3.4295e-04 2.6089e-04
2.2034e+00 3.9257e-04 2.8850e-04
2.2036e+00 3.0526e-04 2.6972e-04
2.2039e+00 3.1279e-04 2.7018e-04
2.2042e+00 3.4055e-04 2.7754e-04
2.2044e+00 3.4372e-04 2.7293e-04
2.2047e+00 3.0038e-04 3.1236e-04
2.2050e+00 2.5621e-04 3.3122e-04
2.2052e+00 3.2303e-04 2.9750e-04
2.2055e+00 4.1735e-04 2.8400e-04
2.2057e+00 3.7365e-04 2.8222e-04
2.2060e+00 3.4977e-04 4.5016e-04
2.2063e+00 3.2436e-04 2.7904e-04
2.2065e+00 3.0343e-04 5.5386e-04
2.2068e+00 3.2612e-04 3.1418e-04
2.2071e+00 3.0866e-04 2.8900e-04
2.2073e+00 3.0532e-04 3.1591e-04
2.2076e+00 2.8598e-04 8.4233e-04
2.2079e+00 3.1852e-04 3.0495e-04
2.2081e+00 3.0870e-04 4.0603e-04
2.2084e+00 2.9642e-04 2.7866e-04
2.2087e+00 3.2126e-04 2.8645e-04
2.2089e+00 3.9673e-04 9.4161e-04
2.2092e+00 3.5596e-04 2.9999e-04
2.2094e+00 3.0298e-04 3.1208e-04
2.2097e+00 3.3092e-04 2.9661e-04
2.2100e+00 3.4440e-04 3.3018e-04
2.2102e+00 2.9504e-04 4.3713e-04
2.2105e+00 3.5602e-04 2.7949e-04
2.2108e+00 3.2119e-04 3.1066e-04
2.2110e+00 2.9243e-04 2.9090e-04
2.2113e+00 3.9519e-04 2.9612e-04
2.2116e+00 4.8093e-04 2.9251e-04
2.2118e+00 4.0682e-04 3.2178e-04
2.2121e+00 4.1123e-04 2.8278e-04
2.2124e+00 3.0222e-04 3.9825e-04
2.2126e+00 3.5334e-04 2.9248e-04
2.2129e+00 3.3144e-04 2.9825e-04
2.2131e+00 4.2657e-04 3.8457e-04
2.2134e+00 3.6503e-04 2.9418e-04
2.2137e+00 3.7842e-04 3.4503e-04
2.2139e+00 3.5897e-04 2.8694e-04
2.2142e+00 4.1544e-04 2.9698e-04
2.2145e+00 2.9924e-04 3.9604e-04
2.2147e+00 1.9005e-04 3.0439e-04
2.2150e+00 1.5043e-04 6.8953e-04
2.2153e+00 2.7357e-04 3.1826e-04
2.2155e+00 2.7419e-04 2.9572e-04
2.2158e+00 3.6950e-04 3.0065e-04
2.2161e+00 3.2822e-04 3.5504e-04
2.2163e+00 3.3487e-04 3.2262e-04
2.2166e+00 2.9698e-04 3.0436e-04
2.2168e+00 3.5746e-04 3.0299e-04
2.2171e+00 4.2951e-04 2.8693e-04
2.2174e+00 2.9693e-04 3.7519e-04
2.2176e+00 3.9053e-04 2.9721e-04
2.2179e+00 3.6853e-04 2.9084e-04
2.2182e+00 4.1208e-04 3.3316e-04
2.2184e+00 3.6087e-04 2.9402e-04
2.2187e+00 4.0467e-04 3.0533e-04
2.2190e+00 4.1206e-04 2.9676e-04
2.2192e+00 4.0699e-04 2.7811e-04
2.2195e+00 3.3073e-04 2.8972e-04
2.2198e+00 3.3530e-04 2.8244e-04
2.2200e+00 3.1262e-04 2.7819e-04
2.2203e+00 3.5406e-04 2.8381e-04
2.2205e+00 6.1707e-04 3.7184e-04
2.2208e+00 4.5133e-04 2.9147e-04
2.2211e+00 3.1709e-04 2.6980e-04
2.2213e+00 3.3116e-04 3.0226e-04
2.2216e+00 3.5191e-04 3.5252e-04
2.2219e+00 3.3474e-04 3.2154e-04
2.2221e+00 3.6067e-04 2.8239e-04
2.2224e+00 3.2633e-04 3.5939e-04
2.2227e+00 3.8776e-04 2.7107e-04
2.2229e+00 3.7044e-04 3.6684e-04
2.2232e+00 4.5984e-04 2.9513e-04
2.2235e+00 4.0246e-04 2.8295e-04
2.2237e+00 3.0363e-04 2.8579e-04
2.2240e+00 3.2811e-04 3.1993e-04
2.2242e+00 2.6729e-04 2.7534e-04
2.2245e+00 2.7774e-04 2.6976e-04
2.2248e+00 2.8572e-04 2.8958e-04
2.2250e+00 3.0699e-04 2.9465e-04
2.2253e+00 4.6726e-04 3.0178e-04
2.2256e+00 4.2392e-04 2.9327e-04
2.2258e+00 3.2001e-04 3.1123e-04
2.2261e+00 3.3658e-04 2.6644e-04
2.2264e+00 2.5651e-04 2.7324e-04
2.2266e+00 3.6393e-04 2.8596e-04
2.2269e+00 3.1487e-04 3.0329e-04
2.2272e+00 3.6501e-04 2.8437e-04
2.2274e+00 4.8250e-04 2.7877e-04
2.2277e+00 4.5038e-04 2.6681e-04
2.2279e+00 3.4086e-04 2.6059e-04
2.2282e+00 2.9809e-04 2.7546e-04
2.2285e+00 3.0223e-04 2.6137e-04
2.2287e+00 3.2105e-04 2.7422e-04
2.2290e+00 3.4689e-04 3.1839e-04
2.2293e+00 3.4516e-04 2.5939e-04
2.2295e+00 3.6027e-04 2.6036e-04
2.2298e+00 3.7771e-04 2.5588e-04
2.2301e+00 3.3978e-04 2.5644e-04
2.2303e+00 3.8009e-04 2.8361e-04
2.2306e+00 3.7509e-04 3.3156e-04
2.2309e+00 3.6748e-04 2.5749e-04
2.2311e+00 3.6355e-04 2.5651e-04
2.2314e+00 3.0279e-04 2.6141e-04
2.2316e+00 3.7307e-04 2.7388e-04
2.2319e+00 3.5794e-04 2.8400e-04
2.2322e+00 3.7432e-04 3.4131e-04
2.2324e+00 3.3886e-04 2.7652e-04
2.2327e+00 3.7043e-04 2.6284e-04
2.2330e+00 3.4578e-04 2.7062e-04
2.2332e+00 3.6435e-04 2.6277e-04
2.2335e+00 3.4098e-04 2.9845e-04
2.2338e+00 3.5286e-04 2.9055e-04
2.2340e+00 3.4465e-04 2.6855e-04
2.2343e+00 2.6909e-04 2.8338e-04
2.2346e+00 3.3938e-04 3.1052e-04
2.2348e+00 3.3972e-04 2.5811e-04
2.2351e+00 3.5882e-04 2.5609e-04
2.2353e+00 3.4709e-04 2.7249e-04
2.2356e+00 3.8599e-04 2.4125e-04
2.2359e+00 3.4982e-04 2.8064e-04
2.2361e+00 3.2810e-04 2.7408e-04
2.2364e+00 3.9879e-04 3.0888e-04
2.2367e+00 3.7184e-04 2.5953e-04
2.2369e+00 4.0385e-04 2.7535e-04
2.2372e+00 3.5865e-04 2.8382e-04
2.2375e+00 3.4328e-04 2.5880e-04
2.2377e+00 4.0673e-04 3.2980e-04
2.2380e+00 3.8444e-04 2.6306e-04
2.2383e+00 4.3450e-04 3.6007e-04
2.2385e+00 4.1753e-04 2.5381e-04
2.2388e+00 3.5696e-04 5.2603e-04
2.2390e+00 3.6427e-04 2.6784e-04
2.2393e+00 3.9180e-04 4.8260e-04
2.2396e+00 3.2629e-04 2.5027e-04
2.2398e+00 3.4634e-04 5.4242e-04
2.2401e+00 3.5793e-04 2.6704e-04
2.2404e+00 3.7495e-04 2.7001e-04
2.2406e+00 3.5116e-04 2.7167e-04
2.2409e+00 3.8081e-04 4.4494e-04
2.2412e+00 3.4499e-04 4.9388e-04
2.2414e+00 2.9217e-04 3.0364e-04
2.2417e+00 3.4774e-04 2.7106e-04
2.2420e+00 4.2657e-04 2.6943e-04
2.2422e+00 3.6653e-04 2.5428e-04
2.2425e+00 3.3405e-04 2.7868e-04
2.2427e+00 3.6775e-04 2.5762e-04
2.2430e+00 3.0452e-04 2.5990e-04
2.2433e+00 3.2281e-04 2.5456e-04
2.2435e+00 3.4451e-04 2.5301e-04
2.2438e+00 3.2359e-04 2.6160e-04
2.2441e+00 2.9571e-04 2.7542e-04
2.2443e+00 4.0371e-04 2.7074e-04
2.2446e+00 3.9249e-04 2.4883e-04
2.2449e+00 4.1094e-04 4.6013e-04
2.2451e+00 3.1944e-04 2.5203e-04
2.2454e+00 4.1953e-04 2.6204e-04
2.2457e+00 4.4557e-04 2.6068e-04
2.2459e+00 4.3093e-04 2.8629e-04
2.2462e+00 3.3430e-04 2.9962e-04
2.2464e+00 3.2961e-04 2.6153e-04
2.2467e+00 5.2491e-04 4.5858e-04
2.2470e+00 3.7854e-04 4.1593e-04
2.2472e+00 3.2395e-04 2.8925e-04
2.2475e+00 3.7990e-04 2.9455e-04
2.2478e+00 3.9943e-04 2.5432e-04
2.2480e+00 3.6196e-04 2.6296e-04
2.2483e+00 3.1868e-04 3.6357e-04
2.2486e+00 2.9625e-04 2.6392e-04
2.2488e+00 3.2495e-04 2.6187e-04
2.2491e+00 3.0127e-04 3.0612e-04
2.2494e+00 3.2348e-04 2.6067e-04
2.2496e+00 3.4782e-04 2.6236e-04
2.2499e+00 3.0475e-04 2.9732e-04
2.2501e+00 1.7564e-04 2.6959e-04
2.2504e+00 3.5718e-04 2.5415e-04
2.2507e+00 3.9626e-04 2.7741e-04
2.2509e+00 3.6363e-04 2.6673e-04
2.2512e+00 4.1507e-04 2.6802e-04
2.2515e+00 3.8007e-04 2.5858e-04
2.2517e+00 3.7605e-04 2.5415e-04
2.2520e+00 3.2062e-04 2.6235e-04
2.2523e+00 3.2320e-04 2.7635e-04
2.2525e+00 3.9172e-04 2.6199e-04
2.2528e+00 3.8657e-04 2.7856e-04
2.2531e+00 3.2094e-04 3.0604e-04
2.2533e+00 3.5039e-04 2.7568e-04
2.2536e+00 2.8785e-04 2.7616e-04
2.2538e+00 3.6997e-04 2.8887e-04
2.2541e+00 3.8036e-04 2.9482e-04
2.2544e+00 3.8787e-04 2.7071e-04
2.2546e+00 3.4854e-04 2.9583e-04
2.2549e+00 3.2242e-04 2.7942e-04
2.2552e+00 2.7863e-04 2.9577e-04
2.2554e+00 3.6395e-04 2.9195e-04
2.2557e+00 4.1245e-04 2.7990e-04
2.2560e+00 3.8741e-04 3.0292e-04
2.2562e+00 3.8878e-04 3.3244e-04
2.2565e+00 4.1784e-04 2.7453e-04
2.2568e+00 3.4942e-04 2.9899e-04
2.2570e+00 4.6083e-04 3.0735e-04
2.2573e+00 4.1802e-04 2.6732e-04
2.2575e+00 4.1878e-04 2.5623e-04
2.2578e+00 4.0572e-04 3.3799e-04
2.2581e+00 3.6549e-04 2.7724e-04
2.2583e+00 2.9223e-04 2.6454e-04
2.2586e+00 3.3419e-04 2.7801e-04
2.2589e+00 3.5537e-04 3.2104e-04
2.2591e+00 3.7759e-04 2.6425e-04
2.2594e+00 3.7708e-04 2.8947e-04
2.2597e+00 3.6563e-04 3.5401e-04
2.2599e+00 3.7982e-04 2.6612e-04
2.2602e+00 2.4530e-04 5.9805e-04
2.2605e+00 3.0128e-04 3.0218e-04
2.2607e+00 3.9950e-04 3.2364e-04
2.2610e+00 3.7134e-04 2.9417e-04
2.2612e+00 3.4984e-04 2.9655e-04
2.2615e+00 3.2447e-04 3.2658e-04
2.2618e+00 3.3330e-04 3.6407e-04
2.2620e+00 4.1802e-04 2.9460e-04
2.2623e+00 3.7832e-04 3.0854e-04
2.2626e+00 3.9901e-04 2.7576e-04
2.2628e+00 3.2718e-04 2.7400e-04
2.2631e+00 2.7461e-04 2.9881e-04
2.2634e+00 3.4457e-04 2.7726e-04
2.2636e+00 3.3682e-04 2.7916e-04
2.2639e+00 3.7058e-04 5.8402e-04
2.2642e+00 3.4886e-04 2.7405e-04
2.2644e+00 3.1603e-04 2.9412e-04
2.2647e+00 3.3319e-04 3.0487e-04
2.2649e+00 2.5717e-04 3.1043e-04
2.2652e+00 3.4488e-04 2.9068e-04
2.2655e+00 3.2496e-04 2.8501e-04
2.2657e+00 3.2603e-04 2.6480e-04
2.2660e+00 3.9790e-04 2.6586e-04
2.2663e+00 4.0989e-04 2.6614e-04
2.2665e+00 4.2001e-04 2.6597e-04
2.2668e+00 4.6431e-04 2.6490e-04
2.2671e+00 4.2392e-04 2.7066e-04
2.2673e+00 3.8208e-04 2.7687e-04
2.2676e+00 3.9201e-04 3.6093e-04
2.2679e+00 3.2832e-04 3.2306e-04
2.2681e+00 2.6198e-04 2.7963e-04
2.2684e+00 3.1019e-04 3.4584e-04
2.2686e+00 2.7872e-04 3.2866e-04
2.2689e+00 3.5676e-04 4.3751e-04
2.2692e+00 3.3883e-04 3.2861e-04
2.2694e+00 3.2243e-04 3.0917e-04
2.2697e+00 3.1149e-04 2.8817e-04
2.2700e+00 3.7622e-04 2.6538e-04
2.2702e+00 4.4172e-04 2.8568e-04
2.2705e+00 3.8859e-04 3.1450e-04
2.2708e+00 3.3746e-04 2.7518e-04
2.2710e+00 4.0629e-04 2.8480e-04
2.2713e+00 3.5335e-04 2.6307e-04
2.2716e+00 3.9427e-04 2.8790e-04
2.2718e+00 3.8413e-04 2.7104e-04
2.2721e+00 4.0926e-04 2.9845e-04
2.2723e+00 3.8972e-04 2.9760e-04
2.2726e+00 4.2109e-04 2.9415e-04
2.2729e+00 4.4252e-04 4.8568e-04
